left_cnt,right_cnt,original_sum,naive_cnt,new_cnt,saving
100,100,5169,5069,2240,0.4419017557703689
100,100,5318,5218,2336,0.447681103871215
100,100,5298,5198,2328,0.44786456329357444
100,100,4886,4786,2431,0.5079398244880903
100,100,4740,4640,2395,0.5161637931034483
100,100,4975,4875,2285,0.4687179487179487
100,100,5072,4972,2259,0.45434432823813353
100,100,4574,4474,2297,0.5134108180599016
100,100,5393,5293,2219,0.41923294917815984
100,100,4879,4779,2312,0.48378321824649506
100,100,4838,4738,2211,0.46665259603208104
100,100,4584,4484,2176,0.4852809991079393
100,100,4980,4880,2288,0.46885245901639344
100,100,4659,4559,2276,0.4992322877824084
100,100,4816,4716,2163,0.4586513994910941
100,100,4625,4525,2372,0.5241988950276243
100,100,5070,4970,2245,0.4517102615694165
100,100,5287,5187,2466,0.47541931752458066
100,100,4997,4897,2204,0.45007147232999795
100,100,5239,5139,2268,0.4413309982486865
100,100,5069,4969,2273,0.45743610384383177
100,100,4729,4629,2374,0.5128537481097429
100,100,4974,4874,2452,0.5030775543701272
100,100,5016,4916,2347,0.4774206672091131
100,100,5075,4975,2502,0.5029145728643216
100,100,5062,4962,2399,0.4834744054816606
100,100,4438,4338,2370,0.5463347164591977
100,100,5146,5046,2131,0.4223147047166072
100,100,5105,5005,2353,0.4701298701298701
100,100,4816,4716,2279,0.48324851569126376
